species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female
Adelie,Torgersen,,,,,
Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female
Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male
Adelie,Torgersen,34.1,18.1,193.0,3475.0,
Adelie,Torgersen,42.0,20.2,190.0,4250.0,
Adelie,Torgersen,37.8,17.1,186.0,3300.0,
Adelie,Torgersen,37.8,17.3,180.0,3700.0,
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female
Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female
Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male
Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male
Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male
Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female
Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female
Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male
Adelie,Dream,39.5,16.7,178.0,3250.0,Female
Adelie,Dream,37.2,18.1,178.0,3900.0,Male
Adelie,Dream,39.5,17.8,188.0,3300.0,Female
Adelie,Dream,40.9,18.9,184.0,3900.0,Male
Adelie,Dream,36.4,17.0,195.0,3325.0,Female
Adelie,Dream,39.2,21.1,196.0,4150.0,Male
Adelie,Dream,38.8,20.0,190.0,3950.0,Male
Adelie,Dream,42.2,18.5,180.0,3550.0,Female
Adelie,Dream,37.6,19.3,181.0,3300.0,Female
Adelie,Dream,39.8,19.1,184.0,4650.0,Male
Adelie,Dream,36.5,18.0,182.0,3150.0,Female
Adelie,Dream,40.8,18.4,195.0,3900.0,Male
Adelie,Dream,36.0,18.5,186.0,3100.0,Female
Adelie,Dream,44.1,19.7,196.0,4400.0,Male
Adelie,Dream,37.0,16.9,185.0,3000.0,Female
Adelie,Dream,39.6,18.8,190.0,4600.0,Male
Adelie,Dream,41.1,19.0,182.0,3425.0,Male
Adelie,Dream,37.5,18.9,179.0,2975.0,
Adelie,Dream,36.0,17.9,190.0,3450.0,Female
Adelie,Dream,42.3,21.2,191.0,4150.0,Male
Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female
Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male
Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female
Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male
Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female
Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female
Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male
Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female
Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male
Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male
Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female
Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male
Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female
Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male
Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female
Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male
Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female
Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female
Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female
Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male
Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male
Adelie,Dream,37.3,17.8,191.0,3350.0,Female
Adelie,Dream,41.3,20.3,194.0,3550.0,Male
Adelie,Dream,36.3,19.5,190.0,3800.0,Male
Adelie,Dream,36.9,18.6,189.0,3500.0,Female
Adelie,Dream,38.3,19.2,189.0,3950.0,Male
Adelie,Dream,38.9,18.8,190.0,3600.0,Female
Adelie,Dream,35.7,18.0,202.0,3550.0,Female
Adelie,Dream,41.1,18.1,205.0,4300.0,Male
Adelie,Dream,34.0,17.1,185.0,3400.0,Female
Adelie,Dream,39.6,18.1,186.0,4450.0,Male
Adelie,Dream,36.2,17.3,187.0,3300.0,Female
Adelie,Dream,40.8,18.9,208.0,4300.0,Male
Adelie,Dream,38.1,18.6,190.0,3700.0,Female
Adelie,Dream,40.3,18.5,196.0,4350.0,Male
Adelie,Dream,33.1,16.1,178.0,2900.0,Female
Adelie,Dream,43.2,18.5,192.0,4100.0,Male
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male
Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female
Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female
Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female
Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female
Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female
Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male
Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female
Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female
Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female
Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male
Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female
Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male
Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female
Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female
Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male
Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female
Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male
Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female
Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female
Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male
Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male
Adelie,Dream,36.8,18.5,193.0,3500.0,Female
Adelie,Dream,37.5,18.5,199.0,4475.0,Male
Adelie,Dream,38.1,17.6,187.0,3425.0,Female
Adelie,Dream,41.1,17.5,190.0,3900.0,Male
Adelie,Dream,35.6,17.5,191.0,3175.0,Female
Adelie,Dream,40.2,20.1,200.0,3975.0,Male
Adelie,Dream,37.0,16.5,185.0,3400.0,Female
Adelie,Dream,39.7,17.9,193.0,4250.0,Male
Adelie,Dream,40.2,17.1,193.0,3400.0,Female
Adelie,Dream,40.6,17.2,187.0,3475.0,Male
Adelie,Dream,32.1,15.5,188.0,3050.0,Female
Adelie,Dream,40.7,17.0,190.0,3725.0,Male
Adelie,Dream,37.3,16.8,192.0,3000.0,Female
Adelie,Dream,39.0,18.7,185.0,3650.0,Male
Adelie,Dream,39.2,18.6,190.0,4250.0,Male
Adelie,Dream,36.6,18.4,184.0,3475.0,Female
Adelie,Dream,36.0,17.8,195.0,3450.0,Female
Adelie,Dream,37.8,18.1,193.0,3750.0,Male
Adelie,Dream,36.0,17.1,187.0,3700.0,Female
Adelie,Dream,41.5,18.5,201.0,4000.0,Male
Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female
Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male
Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male
Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female
Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male
Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female
Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male
Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female
Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female
Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male
Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male
Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female
Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female
Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male
Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female
Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male
Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female
Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male
Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male
Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male
Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male
Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male
Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female
Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male
Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female
Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male
